ensembl_gene_id	description	gene_biotype	hgnc_symbol	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters
ENSG00000079246	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining) [Source:HGNC Symbol;Acc:12833]	protein_coding	XRCC5	2	216972187	217071026	1	11168	12	11	0.976266595010056	17	107	6	1	5
ENSG00000079308	tensin 1 [Source:HGNC Symbol;Acc:11973]	protein_coding	TNS1	2	218664512	218867718	-1	21122	38	26	0.678751206542577	27	107	13	2	11
ENSG00000079313	REX1, RNA exonuclease 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24616]	protein_coding	REXO1	19	1815248	1848452	-1	11328	25	18	0.448109447832038	17	107	5	2	3
ENSG00000079385	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein) [Source:HGNC Symbol;Acc:1814]	protein_coding	CEACAM1	19	43011456	43065386	-1	10289	29	23	0.025799397508113	16	107	5	2	4
ENSG00000079435	lipase, hormone-sensitive [Source:HGNC Symbol;Acc:6621]	protein_coding	LIPE	19	42905659	42931578	-1	9297	23	21	0.037144558921577	14	107	4	2	2
ENSG00000079616	kinesin family member 22 [Source:HGNC Symbol;Acc:6391]	protein_coding	KIF22	16	29802040	29816706	1	3845	11	9	0.219369244852527	7	107	2	1	2
ENSG00000079805	dynamin 2 [Source:HGNC Symbol;Acc:2974]	protein_coding	DNM2	19	10828755	10944164	1	51741	86	46	0.631622331662197	47	107	13	3	13
ENSG00000079974	RAB, member of RAS oncogene family-like 2B [Source:HGNC Symbol;Acc:9800]	protein_coding	RABL2B	22	51205929	51222091	-1	2423	4	4	0.644388544348671	4	107	1	1	0
ENSG00000079999	kelch-like ECH-associated protein 1 [Source:HGNC Symbol;Acc:23177]	protein_coding	KEAP1	19	10596796	10614417	-1	5801	11	9	0.658454647221077	10	107	4	1	3
ENSG00000080293	secretin receptor [Source:HGNC Symbol;Acc:10608]	protein_coding	SCTR	2	120197419	120282070	-1	22882	80	42	0.000788726534609485	29	107	2	2	1
ENSG00000080493	solute carrier family 4 (sodium bicarbonate cotransporter), member 4 [Source:HGNC Symbol;Acc:11030]	protein_coding	SLC4A4	4	72053003	72437804	1	6507	8	7	0.936669746884237	11	107	3	1	2
ENSG00000080603	Snf2-related CREBBP activator protein [Source:HGNC Symbol;Acc:16974]	protein_coding	SRCAP	16	30709530	30755602	1	6813	12	10	0.710664029500306	11	107	4	1	3
ENSG00000080802	CCR4-NOT transcription complex, subunit 4 [Source:HGNC Symbol;Acc:7880]	protein_coding	CNOT4	7	135046547	135194875	-1	7398	12	10	0.796451245047703	12	107	4	1	3
ENSG00000080986	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:16909]	protein_coding	NDC80	18	2571510	2616634	1	12038	10	9	0.998423011687356	18	107	3	2	1
ENSG00000081026	membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:HGNC Symbol;Acc:29647]	protein_coding	MAGI3	1	113933371	114228545	1	7094	6	5	0.995539333471412	11	107	1	1	1
ENSG00000081041	chemokine (C-X-C motif) ligand 2 [Source:HGNC Symbol;Acc:4603]	protein_coding	CXCL2	4	74962752	74965010	-1	10333	25	20	0.13976151192376	16	107	2	2	1
ENSG00000081791	KIAA0141 [Source:HGNC Symbol;Acc:28969]	protein_coding	KIAA0141	5	141303373	141321612	1	26559	33	22	0.996536372524015	32	107	4	1	3
ENSG00000081803	Ca++-dependent secretion activator 2 [Source:HGNC Symbol;Acc:16018]	protein_coding	CADPS2	7	121958481	122526813	-1	6691	20	16	0.0670402979216475	11	107	3	1	2
ENSG00000081913	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:20610]	protein_coding	PHLPP1	18	60382672	60647666	1	8963	8	8	0.98635959632879	14	107	4	1	4
ENSG00000081923	ATPase, aminophospholipid transporter, class I, type 8B, member 1 [Source:HGNC Symbol;Acc:3706]	protein_coding	ATP8B1	18	55313658	55470333	-1	33525	48	26	0.998027857736369	37	107	5	3	2
ENSG00000082014	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:11108]	protein_coding	SMARCD3	7	150935850	150974982	-1	9056	12	10	0.937438265765237	14	107	1	1	0
ENSG00000082175	progesterone receptor [Source:HGNC Symbol;Acc:8910]	protein_coding	PGR	11	100900355	101001255	-1	7769	20	17	0.100273559282315	12	107	4	1	3
ENSG00000082212	malic enzyme 2, NAD(+)-dependent, mitochondrial [Source:HGNC Symbol;Acc:6984]	protein_coding	ME2	18	48405419	48474691	1	5736	14	11	0.363278682403263	10	107	3	1	3
ENSG00000082458	discs, large homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:2902]	protein_coding	DLG3	X	69664711	69725337	1	15638	29	17	0.93778589236683	22	107	4	1	4
ENSG00000082497	SERTA domain containing 4 [Source:HGNC Symbol;Acc:25236]	protein_coding	SERTAD4	1	210406144	210419976	1	5106	4	4	0.98294335827415	9	107	2	1	1
ENSG00000082641	nuclear factor, erythroid 2-like 1 [Source:HGNC Symbol;Acc:7781]	protein_coding	NFE2L1	17	46125691	46138849	1	6388	10	8	0.86059333742354	10	107	3	1	2
ENSG00000082805	ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:17072]	protein_coding	ERC1	12	1099675	1605099	1	14056	17	13	0.98862500574988	20	107	9	1	9
ENSG00000083093	partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:26144]	protein_coding	PALB2	16	23614488	23652631	-1	6397	17	13	0.247630344641873	10	107	3	1	2
ENSG00000083457	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6147]	protein_coding	ITGAE	17	3617922	3704537	-1	12620	31	25	0.0501441155892447	19	107	4	1	3
ENSG00000083635	nuclear fragile X mental retardation protein interacting protein 1 [Source:HGNC Symbol;Acc:8057]	protein_coding	NUFIP1	13	45513384	45563618	-1	2908	5	4	0.775349117035751	5	107	2	1	1
ENSG00000083807	solute carrier family 27 (fatty acid transporter), member 5 [Source:HGNC Symbol;Acc:10999]	protein_coding	SLC27A5	19	58990879	59023780	-1	69402	120	49	0.914249629902574	54	107	16	14	4
ENSG00000083817	zinc finger protein 416 [Source:HGNC Symbol;Acc:20645]	protein_coding	ZNF416	19	58082934	58090295	-1	2988	10	10	0.0342220104450273	5	107	2	1	1
ENSG00000083828	zinc finger protein 586 [Source:HGNC Symbol;Acc:25949]	protein_coding	ZNF586	19	58281023	58331307	1	2491	5	5	0.466108655633637	4	107	2	1	1
ENSG00000083844	zinc finger protein 264 [Source:HGNC Symbol;Acc:13057]	protein_coding	ZNF264	19	57702868	57724724	1	4315	7	5	0.886465117160432	7	107	2	2	1
ENSG00000083857	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:3595]	protein_coding	FAT1	4	187508937	187647876	-1	10959	13	12	0.943051663143956	17	107	3	1	2
ENSG00000084093	RE1-silencing transcription factor [Source:HGNC Symbol;Acc:9966]	protein_coding	REST	4	57774075	57802010	1	7504	5	4	0.99937959658404	12	107	1	1	1
ENSG00000084628	Na+/K+ transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:25743]	protein_coding	NKAIN1	1	31652592	31712401	-1	6521	28	24	3.67412727382277e-05	11	107	3	1	2
ENSG00000084636	collagen, type XVI, alpha 1 [Source:HGNC Symbol;Acc:2193]	protein_coding	COL16A1	1	32117848	32169920	-1	15466	35	24	0.317022761267864	22	107	6	1	8
ENSG00000084731	kinesin family member 3C [Source:HGNC Symbol;Acc:6321]	protein_coding	KIF3C	2	26149471	26205618	-1	7616	24	14	0.339878696213021	12	107	5	1	4
ENSG00000084764	microtubule-associated protein, RP/EB family, member 3 [Source:HGNC Symbol;Acc:6892]	protein_coding	MAPRE3	2	27193480	27250064	1	7737	16	14	0.360502312334834	12	107	2	1	2
ENSG00000085117	CD82 molecule [Source:HGNC Symbol;Acc:6210]	protein_coding	CD82	11	44585977	44641913	1	30649	28	21	0.999907601730258	35	107	6	3	6
ENSG00000085274	myoneurin [Source:HGNC Symbol;Acc:14955]	protein_coding	MYNN	3	169490619	169507504	1	6425	11	9	0.766494518364114	11	107	2	1	1
ENSG00000085276	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:3498]	protein_coding	MECOM	3	168801287	169381406	-1	22723	100	41	0.00157659329163118	29	107	9	1	8
ENSG00000085415	SEH1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:30379]	protein_coding	SEH1L	18	12947132	12987535	1	17339	26	19	0.923738343144669	24	107	5	3	3
ENSG00000085465	oviductal glycoprotein 1, 120kDa [Source:HGNC Symbol;Acc:8524]	protein_coding	OVGP1	1	111956936	111970399	-1	12119	19	17	0.670323504480609	18	107	3	1	2
ENSG00000085552	immunoglobulin superfamily, member 9 [Source:HGNC Symbol;Acc:18132]	protein_coding	IGSF9	1	159896829	159915386	-1	10047	31	20	0.116416210525883	15	107	4	3	1
ENSG00000085644	zinc finger protein 213 [Source:HGNC Symbol;Acc:13005]	protein_coding	ZNF213	16	3179778	3192806	1	15380	49	34	0.00094857374750823	22	107	6	3	3
ENSG00000085831	tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:18657]	protein_coding	TTC39A	1	51752930	51810788	-1	15053	30	20	0.693623756833307	21	107	9	1	8
ENSG00000085871	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:7063]	protein_coding	MGST2	4	140586922	140661899	1	7560	15	14	0.330414124490523	12	107	1	1	1
ENSG00000085998	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:HGNC Symbol;Acc:19139]	protein_coding	POMGNT1	1	46654354	46685977	-1	16878	20	16	0.98515945681607	23	107	4	2	3
ENSG00000085999	RAD54-like (S. cerevisiae) [Source:HGNC Symbol;Acc:9826]	protein_coding	RAD54L	1	46713360	46744145	1	4349	10	9	0.331327757453199	7	107	2	2	2
ENSG00000086062	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 [Source:HGNC Symbol;Acc:924]	protein_coding	B4GALT1	9	33104080	33167354	-1	5557	9	9	0.609193262809563	9	107	3	1	2
ENSG00000086065	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:26942]	protein_coding	CHMP5	9	33264940	33281977	1	2986	8	8	0.153563084110263	5	107	2	1	1
ENSG00000086102	nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:7803]	protein_coding	NFX1	9	33290509	33371155	1	11477	15	13	0.925429934557959	17	107	4	1	3
ENSG00000086159	aquaporin 6, kidney specific [Source:HGNC Symbol;Acc:639]	protein_coding	AQP6	12	50360977	50370922	1	25240	74	40	0.0148962322796896	31	107	4	2	2
ENSG00000086232	eukaryotic translation initiation factor 2-alpha kinase 1 [Source:HGNC Symbol;Acc:24921]	protein_coding	EIF2AK1	7	6061881	6098861	-1	6832	10	9	0.822383447811644	11	107	5	0	5
ENSG00000086289	ependymin related 1 [Source:HGNC Symbol;Acc:17572]	protein_coding	EPDR1	7	37723446	37991543	1	3848	9	9	0.219990551046577	7	107	2	1	2
ENSG00000086300	sorting nexin 10 [Source:HGNC Symbol;Acc:14974]	protein_coding	SNX10	7	26331541	26413949	1	6216	7	5	0.986642528455036	10	107	3	1	3
ENSG00000086548	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) [Source:HGNC Symbol;Acc:1818]	protein_coding	CEACAM6	19	42254885	42276113	1	9896	20	16	0.472143240704631	15	107	3	1	2
ENSG00000086570	FAT atypical cadherin 2 [Source:HGNC Symbol;Acc:3596]	protein_coding	FAT2	5	150883654	150948505	-1	17098	11	10	0.99997885925825	23	107	4	3	1
ENSG00000086967	myosin binding protein C, fast type [Source:HGNC Symbol;Acc:7550]	protein_coding	MYBPC2	19	50936160	50969578	1	8595	17	13	0.633961364720827	14	107	3	2	2
ENSG00000086991	NADPH oxidase 4 [Source:HGNC Symbol;Acc:7891]	protein_coding	NOX4	11	89057524	89322779	-1	7214	13	12	0.52236093731507	12	107	3	1	3
ENSG00000087074	protein phosphatase 1, regulatory subunit 15A [Source:HGNC Symbol;Acc:14375]	protein_coding	PPP1R15A	19	49375649	49379314	1	40046	62	34	0.965709289743615	41	107	8	8	1
ENSG00000087076	hydroxysteroid (17-beta) dehydrogenase 14 [Source:HGNC Symbol;Acc:23238]	protein_coding	HSD17B14	19	49316274	49339935	-1	2771	1	1	0.994739423840016	5	107	1	1	0
ENSG00000087077	thyroid hormone receptor interactor 6 [Source:HGNC Symbol;Acc:12311]	protein_coding	TRIP6	7	100464760	100471076	1	5094	6	5	0.950489545056971	9	107	1	1	1
ENSG00000087085	acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:108]	protein_coding	ACHE	7	100487615	100494594	-1	12115	17	15	0.850815317033138	18	107	1	1	2
ENSG00000087087	serrate RNA effector molecule homolog (Arabidopsis) [Source:HGNC Symbol;Acc:24101]	protein_coding	SRRT	7	100472733	100486285	1	22307	35	24	0.89747605881759	28	107	6	2	4
ENSG00000087088	BCL2-associated X protein [Source:HGNC Symbol;Acc:959]	protein_coding	BAX	19	49458072	49465055	1	2778	4	4	0.744555165243639	5	107	1	1	1
ENSG00000087095	nemo-like kinase [Source:HGNC Symbol;Acc:29858]	protein_coding	NLK	17	26368763	26523407	1	2419	14	10	0.0095800042953168	4	107	1	1	1
ENSG00000087152	ataxin 7-like 3 [Source:HGNC Symbol;Acc:25416]	protein_coding	ATXN7L3	17	42269173	42277481	-1	4067	4	4	0.937552897624968	7	107	2	1	1
ENSG00000087266	SH3-domain binding protein 2 [Source:HGNC Symbol;Acc:10825]	protein_coding	SH3BP2	4	2794750	2842825	1	41697	60	36	0.939422042150071	42	107	10	7	8
ENSG00000087303	nidogen 2 (osteonidogen) [Source:HGNC Symbol;Acc:13389]	protein_coding	NID2	14	52471521	52535712	-1	5812	14	11	0.378910028902292	10	107	3	1	2
ENSG00000087338	germ cell-less, spermatogenesis associated 1 [Source:HGNC Symbol;Acc:23843]	protein_coding	GMCL1	2	70056774	70108528	1	30710	58	34	0.635311524695025	35	107	5	2	3
ENSG00000087460	GNAS complex locus [Source:HGNC Symbol;Acc:4392]	protein_coding	GNAS	20	57414773	57486247	1	16386	32	24	0.415932249416417	23	107	8	1	8
ENSG00000087510	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) [Source:HGNC Symbol;Acc:11744]	protein_coding	TFAP2C	20	55204358	55214339	1	11760	40	29	0.00130359196277463	18	107	3	3	1
ENSG00000088038	CCR4-NOT transcription complex, subunit 3 [Source:HGNC Symbol;Acc:7879]	protein_coding	CNOT3	19	54641444	54659419	1	7788	29	22	0.00301955716995439	12	107	4	1	4
ENSG00000088247	KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:6316]	protein_coding	KHSRP	19	6413359	6424805	-1	9809	19	17	0.342326043801891	15	107	4	1	3
ENSG00000088256	guanine nucleotide binding protein (G protein), alpha 11 (Gq class) [Source:HGNC Symbol;Acc:4379]	protein_coding	GNA11	19	3094408	3124002	1	19455	49	33	0.0407009419182177	26	107	5	2	4
ENSG00000088280	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:14987]	protein_coding	ASAP3	1	23755056	23811061	-1	19316	39	28	0.309820983648801	26	107	7	1	6
ENSG00000088305	DNA (cytosine-5-)-methyltransferase 3 beta [Source:HGNC Symbol;Acc:2979]	protein_coding	DNMT3B	20	31350191	31397162	1	5555	13	12	0.212265626576123	9	107	2	1	2
ENSG00000088325	TPX2, microtubule-associated [Source:HGNC Symbol;Acc:1249]	protein_coding	TPX2	20	30327074	30389608	1	3616	4	4	0.89458651749732	6	107	1	1	1
ENSG00000088356	p53 and DNA-damage regulated 1 [Source:HGNC Symbol;Acc:16119]	protein_coding	PDRG1	20	30532758	30539895	-1	3887	4	4	0.922781101665204	7	107	2	1	1
ENSG00000088367	erythrocyte membrane protein band 4.1-like 1 [Source:HGNC Symbol;Acc:3378]	protein_coding	EPB41L1	20	34679426	34820721	1	39601	99	49	0.0270378712616068	41	107	9	2	9
ENSG00000088682	coenzyme Q9 [Source:HGNC Symbol;Acc:25302]	protein_coding	COQ9	16	57481337	57495187	1	6257	9	6	0.964925259978181	10	107	4	1	4
ENSG00000088766	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:16148]	protein_coding	CRLS1	20	5986736	6020699	1	6277	8	8	0.848096215423319	10	107	3	1	3
ENSG00000088836	solute carrier family 4, sodium borate transporter, member 11 [Source:HGNC Symbol;Acc:16438]	protein_coding	SLC4A11	20	3208063	3219836	-1	32088	57	35	0.630593494635081	36	107	4	3	2
ENSG00000088881	early B-cell factor 4 [Source:HGNC Symbol;Acc:29278]	protein_coding	EBF4	20	2673524	2740753	1	5419	12	8	0.719827788263906	9	107	3	1	3
ENSG00000088882	carboxypeptidase X (M14 family), member 1 [Source:HGNC Symbol;Acc:15771]	protein_coding	CPXM1	20	2774715	2781283	-1	4318	6	5	0.886810106055692	7	107	2	1	1
ENSG00000088899	Homo sapiens leucine zipper, putative tumor suppressor family member 3 (LZTS3), mRNA. [Source:RefSeq mRNA;Acc:NM_001282533]	protein_coding		20	3143263	3154192	-1	30692	56	40	0.126499540913414	35	107	4	4	1
ENSG00000088992	tescalcin [Source:HGNC Symbol;Acc:26065]	protein_coding	TESC	12	117476728	117537284	-1	13430	30	25	0.0847367903295342	20	107	4	1	3
ENSG00000089127	2'-5'-oligoadenylate synthetase 1, 40/46kDa [Source:HGNC Symbol;Acc:8086]	protein_coding	OAS1	12	113344582	113369990	1	3345	8	7	0.374447758251861	6	107	2	1	2
ENSG00000089159	paxillin [Source:HGNC Symbol;Acc:9718]	protein_coding	PXN	12	120648250	120703574	-1	19311	14	11	0.999992543720033	26	107	2	1	2
ENSG00000089163	sirtuin 4 [Source:HGNC Symbol;Acc:14932]	protein_coding	SIRT4	12	120740119	120751052	1	2905	4	4	0.774672976099485	5	107	1	1	2
ENSG00000089195	tRNA methyltransferase 6 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20900]	protein_coding	TRMT6	20	5917881	5931182	-1	4008	9	9	0.254043800473416	7	107	2	1	1
ENSG00000089351	GRAM domain containing 1A [Source:HGNC Symbol;Acc:29305]	protein_coding	GRAMD1A	19	35485688	35517375	1	22359	42	26	0.772477422530986	28	107	5	2	5
ENSG00000089356	FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:4027]	protein_coding	FXYD3	19	35606732	35615228	1	21812	30	21	0.975664165920318	28	107	2	2	1
ENSG00000089486	cell death-inducing p53 target 1 [Source:HGNC Symbol;Acc:13234]	protein_coding	CDIP1	16	4560676	4588829	-1	6232	4	4	0.996241534349627	10	107	1	1	1
ENSG00000089558	potassium voltage-gated channel, subfamily H (eag-related), member 4 [Source:HGNC Symbol;Acc:6253]	protein_coding	KCNH4	17	40308909	40333296	-1	2557	6	5	0.488526888309249	4	107	2	1	1
ENSG00000089597	glucosidase, alpha; neutral AB [Source:HGNC Symbol;Acc:4138]	protein_coding	GANAB	11	62392298	62414104	-1	6836	11	8	0.90278218671227	11	107	4	1	3
ENSG00000089685	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:593]	protein_coding	BIRC5	17	76210267	76221717	1	3342	9	8	0.229360287387823	6	107	1	1	2
ENSG00000090020	solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1 [Source:HGNC Symbol;Acc:11071]	protein_coding	SLC9A1	1	27425306	27493472	-1	13894	16	13	0.987071358437986	20	107	3	1	2
ENSG00000090238	yippee-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18327]	protein_coding	YPEL3	16	30103635	30108236	-1	14575	16	12	0.996999677248549	21	107	2	2	1
ENSG00000090372	striatin, calmodulin binding protein 4 [Source:HGNC Symbol;Acc:15721]	protein_coding	STRN4	19	47222764	47250251	-1	10193	12	8	0.9962171511701	16	107	7	1	6
ENSG00000090447	transcription factor AP-4 (activating enhancer binding protein 4) [Source:HGNC Symbol;Acc:11745]	protein_coding	TFAP4	16	4307187	4323076	-1	5975	18	15	0.0591303252072097	10	107	3	1	2
ENSG00000090565	RAB11 family interacting protein 3 (class II) [Source:HGNC Symbol;Acc:17224]	protein_coding	RAB11FIP3	16	475619	573011	1	77331	127	43	0.999809409533383	57	107	15	10	5
ENSG00000090661	ceramide synthase 4 [Source:HGNC Symbol;Acc:23747]	protein_coding	CERS4	19	8271620	8327305	1	8063	11	10	0.869302559496783	13	107	4	1	4
ENSG00000090674	mucolipin 1 [Source:HGNC Symbol;Acc:13356]	protein_coding	MCOLN1	19	7587512	7598895	1	9512	19	12	0.851093023384824	15	107	3	1	2
ENSG00000090889	kinesin family member 4A [Source:HGNC Symbol;Acc:13339]	protein_coding	KIF4A	X	69509879	69640682	1	2082	1	1	0.980604952209921	4	107	1	1	0
ENSG00000090975	phosphatidylinositol transfer protein, membrane-associated 2 [Source:HGNC Symbol;Acc:21044]	protein_coding	PITPNM2	12	123468027	123634562	-1	7709	20	13	0.481657035023431	12	107	5	1	4
ENSG00000091073	deltex homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:15973]	protein_coding	DTX2	7	76090993	76135312	1	6089	11	9	0.711659490122434	10	107	4	1	3
ENSG00000091136	laminin, beta 1 [Source:HGNC Symbol;Acc:6486]	protein_coding	LAMB1	7	107564244	107643700	-1	16723	17	14	0.996849653762517	23	107	4	1	3
ENSG00000091317	CKLF-like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:19177]	protein_coding	CMTM6	3	32522804	32544900	-1	49836	71	38	0.981814180224858	46	107	7	6	1
ENSG00000091409	integrin, alpha 6 [Source:HGNC Symbol;Acc:6142]	protein_coding	ITGA6	2	173292082	173371181	1	21690	20	18	0.997325584901567	28	107	3	1	2
ENSG00000091651	origin recognition complex, subunit 6 [Source:HGNC Symbol;Acc:17151]	protein_coding	ORC6	16	46723555	46732306	1	5319	10	8	0.701032719167126	9	107	2	1	2
ENSG00000091831	estrogen receptor 1 [Source:HGNC Symbol;Acc:3467]	protein_coding	ESR1	6	151977826	152450754	1	28277	70	39	0.0909600003583416	33	107	7	3	6
ENSG00000091947	transmembrane protein 101 [Source:HGNC Symbol;Acc:28653]	protein_coding	TMEM101	17	42088556	42101314	-1	15632	14	13	0.996909350925683	22	107	3	2	4
ENSG00000092068	solute carrier family 7 (amino acid transporter light chain, L system), member 8 [Source:HGNC Symbol;Acc:11066]	protein_coding	SLC7A8	14	23594504	23652883	-1	10720	20	15	0.708235521150714	16	107	6	1	5
ENSG00000092096	solute carrier family 22, member 17 [Source:HGNC Symbol;Acc:23095]	protein_coding	SLC22A17	14	23815515	23822121	-1	7396	14	12	0.556180923766569	12	107	4	1	3
ENSG00000092098	ring finger protein 31 [Source:HGNC Symbol;Acc:16031]	protein_coding	RNF31	14	24615892	24629870	1	8368	11	7	0.990464405705742	13	107	5	1	4
ENSG00000092201	suppressor of Ty 16 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11465]	protein_coding	SUPT16H	14	21819631	21852425	-1	7925	10	9	0.921908052458039	13	107	5	2	3
ENSG00000092208	gem (nuclear organelle) associated protein 2 [Source:HGNC Symbol;Acc:10884]	protein_coding	GEMIN2	14	39583427	39606177	1	3272	2	2	0.984340608281237	6	107	2	1	2
ENSG00000092295	transglutaminase 1 [Source:HGNC Symbol;Acc:11777]	protein_coding	TGM1	14	24718320	24733638	-1	23189	36	26	0.823904474731835	29	107	3	1	4
ENSG00000092470	WD repeat domain 76 [Source:HGNC Symbol;Acc:25773]	protein_coding	WDR76	15	44119161	44160617	1	6851	8	7	0.954368596662175	11	107	3	2	2
ENSG00000092621	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:8923]	protein_coding	PHGDH	1	120202421	120286838	1	6452	9	7	0.933334538579398	11	107	4	1	4
ENSG00000092847	argonaute RISC catalytic component 1 [Source:HGNC Symbol;Acc:3262]	protein_coding	AGO1	1	36335409	36395211	1	1101	2	2	0.60994380155034	2	107	1	0	1
ENSG00000092850	tektin 2 (testicular) [Source:HGNC Symbol;Acc:11725]	protein_coding	TEKT2	1	36549676	36553876	1	11889	17	12	0.971480741274616	18	107	2	2	2
ENSG00000092853	claspin [Source:HGNC Symbol;Acc:19715]	protein_coding	CLSPN	1	36185819	36235568	-1	7767	7	6	0.993582064005036	12	107	4	2	2
ENSG00000092871	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:24821]	protein_coding	RFFL	17	33333009	33416338	-1	7502	11	11	0.701610306466428	12	107	6	1	5
ENSG00000092931	major facilitator superfamily domain containing 11 [Source:HGNC Symbol;Acc:25458]	protein_coding	MFSD11	17	74731947	74777531	1	12958	20	18	0.665522512408447	19	107	4	1	3
ENSG00000093000	nucleoporin 50kDa [Source:HGNC Symbol;Acc:8065]	protein_coding	NUP50	22	45559722	45583896	1	13654	12	9	0.99973061970277	20	107	3	1	3
ENSG00000093217	xylulokinase homolog (H. influenzae) [Source:HGNC Symbol;Acc:12839]	protein_coding	XYLB	3	38388251	38462839	1	16954	28	18	0.9465886250697	23	107	4	2	3
ENSG00000094755	gamma-aminobutyric acid (GABA) A receptor, pi [Source:HGNC Symbol;Acc:4089]	protein_coding	GABRP	5	170190354	170241051	1	8066	32	17	0.126433995712167	13	107	5	1	4
ENSG00000094804	cell division cycle 6 [Source:HGNC Symbol;Acc:1744]	protein_coding	CDC6	17	38443885	38459171	1	8026	23	20	0.0199127303791249	13	107	3	2	2
ENSG00000094914	achalasia, adrenocortical insufficiency, alacrimia [Source:HGNC Symbol;Acc:13666]	protein_coding	AAAS	12	53701240	53718648	-1	14233	41	29	0.0147501921506045	20	107	3	2	1
ENSG00000094916	chromobox homolog 5 [Source:HGNC Symbol;Acc:1555]	protein_coding	CBX5	12	54624724	54673886	-1	6592	19	14	0.181271926007811	11	107	4	1	4
ENSG00000095002	mutS homolog 2 [Source:HGNC Symbol;Acc:7325]	protein_coding	MSH2	2	47630108	47789450	1	5902	14	13	0.172222509382904	10	107	3	1	3
ENSG00000095066	hook microtubule-tethering protein 2 [Source:HGNC Symbol;Acc:19885]	protein_coding	HOOK2	19	12873817	12983554	-1	12396	20	12	0.980846634254187	18	107	5	2	3
ENSG00000095303	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase) [Source:HGNC Symbol;Acc:9604]	protein_coding	PTGS1	9	125132824	125157982	1	14442	40	27	0.0563151560898318	21	107	2	2	2
ENSG00000095380	N-acetylneuraminic acid synthase [Source:HGNC Symbol;Acc:19237]	protein_coding	NANS	9	100819021	100845357	1	12309	11	9	0.99881914581063	18	107	3	2	2
ENSG00000095397	deafness, autosomal recessive 31 [Source:HGNC Symbol;Acc:16361]	protein_coding	DFNB31	9	117164360	117267730	-1	10473	14	13	0.860625025231497	16	107	4	2	3
ENSG00000095713	cartilage acidic protein 1 [Source:HGNC Symbol;Acc:14882]	protein_coding	CRTAC1	10	99624757	99790585	-1	4996	10	8	0.634956112914438	8	107	3	1	2
ENSG00000095906	nucleotide binding protein 2 [Source:HGNC Symbol;Acc:8042]	protein_coding	NUBP2	16	1832902	1839192	1	3798	13	12	0.0270198452581772	7	107	1	1	1
ENSG00000095970	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:17761]	protein_coding	TREM2	6	41126244	41130924	-1	4408	8	8	0.496651537392015	7	107	2	1	1
ENSG00000096063	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:11305]	protein_coding	SRPK1	6	35800743	35889119	-1	12652	21	17	0.732336737806276	19	107	8	1	7
